Year LogTransistorCount
1971 3.3522
1971 3.4883
1972 3.5441
1973 3.3979
1974 3.4771
1974 3.6128
1974 3.7782
1974 3.9031
1975 3.6559
1975 3.6021
1975 3.699
1976 3.699
1976 3.9294
1976 3.8129
1976 3.9031
1977 3.8451
1978 3.9542
1978 4.4624
1979 4.243
1979 4.4624
1979 4.8325
1980 4.699
1981 4.0607
1981 4.6532
1982 4.7404
1982 5.1271
1983 4.3424
1984 4.7993
1984 5.2788
1985 5.4393
1985 4.3979
1985 4.2041
1986 5.0414
1986 5.574
1986 4.4314
1986 4.959
1987 5.5855
1987 5.8633
1987 5.4362
1987 5.7427
1988 5.2553
1988 5.3979
1989 5.7782
1989 6
1989 6.072
1989 5.4914
1990 6.8388
1990 6.0792
1991 6.1303
1991 4.5441
1992 5.7782
1992 5.9542
1992 6.2253
1993 6.4472
1993 6.4914
1993 7.3624
1994 5.7627
1994 6.3979
1994 6.4472
1994 6.2041
1995 6.415
1995 6.9685
1995 6.3979
1995 6.7404
1995 6.5798
1996 6.985
1996 6.6335
1997 6.8751
1997 6.9445
1998 6.8751
1998 7.1818
1998 6.7559
1998 6.5051
1999 5.0453
1999 6.9777
1999 7.4378
1999 7.3284
1999 7.3424
2000 7.3222
2000 7.3222
2000 7.6232
2001 8.281
2001 7.6532
2002 7.7404
2002 8.3424
2003 8.1818
2003 7.7348
2003 8.0249
2003 7.8865
2003 8.6128
2003 7.7284
2004 8.0492
2004 8.1584
2004 8.6021
2004 8.7723
2005 8.2279
2005 8.3579
2005 8.2175
2005 8.3979
2006 8.2648
2006 8.5587
2006 8.4639
2006 9.2304
2007 8.6656
2007 7.415
2007 8.6138
2007 8.8971
2007 8.2279
2007 8.3979
2007 8.7324
2008 8.3617
2008 8.8639
2008 8.8797
2008 7.6721
2008 8.7782
2008 9.2788
2009 8.9562
2009 8.8808
2010 8.0899
2010 8.2455
2010 9
2010 9.0682
2010 9.0792
2010 9.1461
2010 9.301
2010 9.3617
2011 9.2718
2011 9.0645
2011 9.356
2011 9.415
2012 8.6355
2012 9.4757
2012 9.0792
2012 9.1149
2012 9.1461
2012 9.3222
2012 9.4393
2012 9.4914
2012 9.699
2013 9
2013 9.2695
2013 9.6232
2013 9.699
2014 9.1461
2014 9.301
2014 9.415
2014 9.4771
2014 9.6345
2014 9.7451
2015 9.243
2015 9.2788
2015 9.601
2015 9.8513
2015 10
2016 9.5051
2016 9.5185
2016 9.6021
2016 9.8573
2016 9.9031
2016 9.4771
2017 9.6335
2017 9.1461
2017 9.6812
2017 9.6812
2017 9.7853
2017 9.9868
2017 9.7404
2017 9.8451
2017 9.9031
2017 9.8513
2017 9.9031
2017 8.3979
2017 9.7364
2017 9.6335
2017 10.255
2017 10.283
2017 9.7243
2017 9.7243
2018 9.7404
2018 9.8388
2018 9.8388
2018 9.9294
2018 10
2018 9.9438
2018 9.9542
2018 9.8261
2019 8.6767
2019 9.2788
2019 9.5798
2019 9.3201
2019 9.9212
2019 9.9912
2019 9.7774
2019 9.9031
2019 9.9294
2019 9.9638
2019 10.086
2019 9.9952
2019 10.013
2019 10.477
2019 10.597
2019 10.013
2020 9.5441
2020 10.072
2020 10.204
2020 10.185
2020 9.6107
2020 9.618
2021 10.029
2021 10.176
2021 10.528
2021 10.756
2021 10.556
2021 10.185
2022 10.204
2022 11.057
2022 10.653
2022 10.301
2022 10.23
2022 10.204
2022 10.954
2023 9.9782
2023 10.398
2023 10.568
2023 10.964
2023 10.279
2023 10.602
2023 10.826
2023 11.127
2023 10.914
2023 11.164
